name,original_price,sale_price,percent_off,color,reviews,rating
Honor Magic4 Lite 4G Black,259.0,217.0,16.2,Black,,
Samsung Galaxy Z Flip 4 512GB F721 Black,1199.0,1171.0,2.3,Black,50,8.9
Crosscall Core-X4 4GB/64GB Black,469.0,375.0,20.0,Black,,
Samsung Galaxy Z Flip 4 512GB F721 Gold,,1228.0,,Gold,50,8.9
Samsung Galaxy Z Flip 4 512GB F721 Purple,,1228.0,,Purple,50,8.9
Samsung Galaxy Z Flip 4 512GB F721 Blue,1199.0,1171.0,2.3,Blue,50,8.9
Samsung Galaxy Z Flip 4 256GB F721 Purple,1149.0,1063.0,7.5,Purple,50,8.9
Honor X7 Blue,219.0,163.0,25.6,Blue,3,9.0
Honor X7 Silver,219.0,163.0,25.6,Silver,3,9.0
Crosscall Action-X5 Black,519.0,425.0,18.1,Black,3,6.8
Samsung Galaxy Z Flip 4 256GB F721 Blue,1149.0,1063.0,7.5,Blue,50,8.9
Honor Magic4 Lite 5G Silver,299.0,247.0,17.4,Silver,6,9.4
Honor 70 128GB Green,549.0,475.0,13.5,Green,14,9.3
Samsung Galaxy Z Fold 4 512GB F936 Beige,1799.0,1691.0,6.0,Beige,24,9.1
Gigaset GX290 Plus Black,329.0,291.0,11.6,Black,8,8.8
Samsung Galaxy Z Fold 4 1TB F936 Green,2124.0,1635.0,23.0,Green,24,9.1
Samsung Galaxy Z Fold 4 256GB F936 Beige,1599.0,1586.0,0.8,Beige,24,9.1
Honor 70 256GB Silver,599.0,524.0,12.5,Silver,14,9.3
Honor Magic4 Lite 5G Black,299.0,247.0,17.4,Black,6,9.4
Sony Xperia 1 IV Purple,1249.0,1090.0,12.7,Purple,67,9.0
Gigaset GS5 Grey,299.0,259.0,13.4,Grey,7,8.8
Samsung Galaxy Z Fold 4 256GB F936 Green,1599.0,1586.0,0.8,Green,24,9.1
Samsung Galaxy S22 256GB S901 White,,853.0,,White,453,8.6
Samsung Galaxy Z Flip 4 128GB F721 Gold,1079.0,1015.0,5.9,Gold,50,8.9
Samsung Galaxy Z Flip4 128GB F721 Blue,1049.0,1009.0,3.8,Blue,50,8.9
Honor Magic4 Lite 4G Blue,259.0,217.0,16.2,Blue,,
Samsung Galaxy Z Fold 4 1TB F936 Beige,2124.0,1635.0,23.0,Beige,24,9.1
Samsung Galaxy Z Fold 4 512GB F936 Green,1799.0,1691.0,6.0,Green,24,9.1
Samsung Galaxy A13 5G 64GB A136 Blue,229.0,197.0,14.0,Blue,15,8.9
Honor 70 256GB Green,599.0,524.0,12.5,Green,14,9.3
Honor X8 Silver,,197.0,,Silver,5,9.3
Honor X7 Black,219.0,163.0,25.6,Black,3,9.0
Samsung Galaxy Z Fold 4 512GB F936 Black,1799.0,1700.0,5.5,Black,24,9.1
Apple iPhone 11 64GB Yellow,519.0,494.0,4.8,Yellow,3,9.1
Samsung Galaxy S22 128GB S901 White,765.0,761.0,0.5,White,453,8.6
Samsung Galaxy S22 256GB S901 Pink,829.0,815.0,1.7,Pink,453,8.6
Samsung Galaxy Z Flip 4 128GB F721 Purple,1079.0,1009.0,6.5,Purple,50,8.9
Samsung Galaxy Z Fold 4 1TB F936 Black,2124.0,1635.0,23.0,Black,24,9.1
Honor X8 Black,,197.0,,Black,5,9.3
Honor 70 256GB Black,599.0,524.0,12.5,Black,14,9.3
Sony Xperia Pro-I Black,1469.0,1357.0,7.6,Black,9,8.1
Motorola Edge 20 Lite 6GB/128GB Green,279.0,227.0,18.6,Green,,
Honor Magic4 Pro Green,999.0,792.0,20.7,Green,14,9.0
Apple iPhone 11 128GB Red,599.0,574.0,4.2,Red,3,9.1
Honor X8 Blue,,197.0,,Blue,5,9.3
Honor 70 128GB Black,549.0,475.0,13.5,Black,14,9.3
Samsung Galaxy A23 A236 64GB Blue,279.0,227.0,18.6,Blue,,
Sony Xperia 10 IV White,479.0,376.0,21.5,White,109,8.5
Samsung Galaxy Z Flip 4 256GB F721 Black,1149.0,1063.0,7.5,Black,50,8.9
Samsung Galaxy A13 5G 64GB A136 Black,229.0,197.0,14.0,Black,15,8.9
Apple iPhone 11 128GB Yellow,599.0,574.0,4.2,Yellow,3,9.1
Apple iPhone 11 128GB Green,599.0,574.0,4.2,Green,3,9.1
OPPO Reno8 Pro 5G Black,749.0,623.0,16.8,Black,,
Sony Xperia 5 III Black,799.0,693.0,13.3,Black,119,9.1
OPPO Reno8 Pro 5G Green,749.0,623.0,16.8,Green,,
Honor Magic4 Pro Black,999.0,792.0,20.7,Black,14,9.0
Apple iPhone 11 64GB Green,519.0,494.0,4.8,Green,3,9.1
Apple iPhone 11 64GB Red,519.0,494.0,4.8,Red,3,9.1
Samsung Galaxy S20 FE 5G 128GB G781 Gree,449.0,395.0,12.0,Gree,1,9.1
Fairphone 4 256GB Green,649.0,574.0,11.6,Green,322,8.6
Nokia G21 128GB Blue,189.0,159.0,15.9,Blue,81,8.5
Samsung Galaxy A23 A236 128GB Blue,299.0,247.0,17.4,Blue,,
Samsung Galaxy A13 5G 128GB A136 Black,239.0,220.0,7.9,Black,15,8.9
Motorola Edge 20 Lite 6GB/128GB Black,279.0,227.0,18.6,Black,,
Apple iPhone 11 64GB Purple,519.0,494.0,4.8,Purple,3,9.1
Apple iPhone 11 64GB White,519.0,494.0,4.8,White,3,9.1
Samsung Galaxy S22 256GB S901 Green,829.0,813.0,1.9,Green,453,8.6
Samsung Galaxy S22 128GB S901 Green,765.0,759.0,0.8,Green,453,8.6
Oppo Find X5 Pro Black,949.0,871.0,8.2,Black,24,9.2
Sony Xperia 5 IV Green,999.0,842.0,15.7,Green,23,9.1
Samsung Galaxy Z Fold 4 256GB F936 Black,1599.0,1583.0,1.0,Black,24,9.1
Sony Xperia 1 IV Black,1249.0,1090.0,12.7,Black,67,9.0
Motorola Moto G71 5G Black,269.0,217.0,19.3,Black,19,9.0
Fairphone 4 128GB Grey,579.0,494.0,14.7,Grey,322,8.6
Samsung Galaxy S22 128GB S901 Purple,765.0,759.0,0.8,Purple,453,8.6
Samsung Galaxy S22 128GB S901 Pink,,773.0,,Pink,453,8.6
Samsung Galaxy A04S 32GB A047 Black,159.0,147.0,7.5,Black,1,7.5
Fairphone 4 256GB Grey,649.0,574.0,11.6,Grey,322,8.6
Samsung Galaxy A23 A236 128GB Black,299.0,247.0,17.4,Black,,
Samsung Galaxy A23 A236 64GB Black,279.0,227.0,18.6,Black,,
Samsung Galaxy S21 FE 5G 128GB G990 Purple,549.0,494.0,10.0,Purple,565,8.8
Samsung Galaxy S20 FE 5G 128GB G781 Blue,449.0,395.0,12.0,Blue,1,9.1
Google Pixel 7 128GB Yellow,649.0,643.0,0.9,Yellow,217,9.1
Google Pixel 7 Pro 128GB Green,899.0,891.0,0.9,Green,207,9.2
Sony Xperia 10 IV Black,479.0,376.0,21.5,Black,109,8.5
Samsung Galaxy A13 64GB A135 Blue,169.0,157.0,7.1,Blue,444,8.9
Apple iPhone 11 128GB White,599.0,574.0,4.2,White,3,9.1
Motorola Moto G72 Black,299.0,237.0,20.7,Black,,
Sony Xperia 5 IV Black,999.0,842.0,15.7,Black,23,9.1
Samsung Galaxy S22 256GB S901 Black,829.0,815.0,1.7,Black,453,8.6
Apple iPhone 11 128GB Purple,599.0,574.0,4.2,Purple,3,9.1
Samsung Galaxy Z Flip 4 128GB F721 Black,1079.0,1009.0,6.5,Black,50,8.9
Google Pixel 7 Pro 128GB White,899.0,891.0,0.9,White,207,9.2
Samsung Galaxy S21 FE 5G 128GB G990 Green,549.0,494.0,10.0,Green,565,8.8
Google Pixel 6A 128GB Black,409.0,296.0,27.6,Black,153,8.9
Google Pixel 6a 128GB Green,409.0,296.0,27.6,Green,153,8.9
Samsung Galaxy A53 5G 128GB A536 Black,369.0,336.0,8.9,Black,724,9.1
Samsung Galaxy A13 128GB A135 Black,189.0,173.0,8.5,Black,444,8.9
Google Pixel 6A 128GB White,409.0,296.0,27.6,White,153,8.9
Samsung Galaxy S21 FE 5G 128GB G990 Black,549.0,494.0,10.0,Black,565,8.8
Google Pixel 7 128GB Black,649.0,643.0,0.9,Black,217,9.1
Apple iPhone 11 64GB Black,519.0,494.0,4.8,Black,3,9.1
Samsung Galaxy S22 128GB S901 Black,765.0,761.0,0.5,Black,453,8.6
Google Pixel 7 Pro 128GB Black,899.0,891.0,0.9,Black,207,9.2
Apple iPhone 11 128GB Black,599.0,574.0,4.2,Black,3,9.1
Samsung Galaxy A53 5G 128GB A536 Blue,369.0,336.0,8.9,Blue,724,9.1
Samsung Galaxy A13 64GB A135 Black,169.0,157.0,7.1,Black,444,8.9
Google Pixel 7 128GB White,649.0,643.0,0.9,White,217,9.1
Samsung Galaxy A13 128GB A135 Blue,189.0,176.0,6.9,Blue,444,8.9
